,hash,count,fraction,frequency,score
0,7984b0a0e139cabadb5afc7756d473fb34d23819,2005,1.0,0.4233576642335766,0.29743589743589743
1,732859d808df41a0c340c31a4ab55f6f8f77af42,1248,0.6224438902743142,0.4840764331210191,0.2723044591692601
2,bc69c5b3e3892ae2d63629bc2c916cb67f17feaa,649,0.3236907730673317,0.32075471698113206,0.1611080283870214
4,a0f13a9d765ed10d6b6eec7e40903264f093b2e9,488,0.2433915211970075,0.41007194244604317,0.1527369767786643
6,c16ae8fdd27dd35b70efd122fadf5fe10287fbad,453,0.22593516209476308,0.45525291828793774,0.15099741884754106
9,ba6ca51483bec0d056ece29361471940d68ec963,417,0.2079800498753117,0.4846153846153846,0.14552555047777313
7,323d0b8b3a99532b9cc8cb51a04ff06bdb64ef52,452,0.2254364089775561,0.4083769633507853,0.14525259350203112
8,1865ec92c92a004fe58ac05403045c666d1be1bf,429,0.2139650872817955,0.43902439024390244,0.1438551388811267
5,5a214d3b3a3f26cab544d931ad211881b1e3e4d2,483,0.24089775561097257,0.3333333333333333,0.1398378691372322
13,8ef35d1cbfbc56d4d83c2c916693b26034f07ad6,376,0.18753117206982545,0.4827586206896552,0.13506440190896496
3,f4f7e30d6604756613a7c203ddd63cd93fe0f0b0,542,0.27032418952618453,0.25688073394495414,0.1317155305594612
17,cd8ff4bb4dbc54a89ad0505b47cbe0f9c322be82,355,0.1770573566084788,0.5142857142857142,0.13171184169844377
10,3def24f4582f7b34343cdfabde367243c8922ac8,393,0.19600997506234413,0.4010989010989011,0.13166675080659596
19,24945c3e7f0ee88b0423ba73e0dc7288af463ba3,352,0.17556109725685787,0.524822695035461,0.13155422672498257
11,211f6a961a13a76aeebb99f1240d8a79cdf23cdb,391,0.19501246882793016,0.38596491228070173,0.12955404611654142
14,0ae2b692ede3142a73fa16dda87769e5283144ff,375,0.18703241895261846,0.3772455089820359,0.1250396951413147
15,4a9c8bcc7c75d352d131bead130258aecefc8f8f,363,0.18104738154613467,0.39814814814814814,0.12445482741849322
12,8e6f2ea6a402d59cce488c73137d5ac8cd5fdf68,386,0.19251870324189527,0.3333333333333333,0.12203604173253241
20,8de64c8b41420de6a8ba89d1f4b3d82ff513cf72,337,0.16807980049875312,0.42391304347826086,0.12035824503887399
23,59b7b0f7a586908eec25f56656202691329b5cd8,308,0.15361596009975062,0.5083333333333333,0.1179669104950868
24,e811a8ab941d599e282246710dfbce76cf901fb2,307,0.15311720698254364,0.5068493150684932,0.11759286098803262
27,a2192f4ef30db53aa24cce75fca5c909cb1e7873,298,0.1486284289276808,0.4642857142857143,0.1125868232148566
18,f48d47ee32fe4bccac415190fdaa9ce0400254e9,353,0.17605985037406482,0.30991735537190085,0.11227687753656684
21,e24f82ca6886f07c390216c7da5f517d197efb73,336,0.16758104738154614,0.3394495412844037,0.11219305291086464
16,e4860d225fa4cd919e8f08599eb7ec36384f60c5,357,0.17805486284289276,0.2986666666666667,0.11155160628844839
25,5d63fce423c6308d94472893f177b1a0ee80596b,303,0.15112219451371572,0.4088050314465409,0.11033489820842346
30,0e146ec83ade3ade269c1867de0bedc490925c98,291,0.1451371571072319,0.44385026737967914,0.10937273583538616
26,c0832e703fe058a23aee3c68b66c35af67188440,301,0.15012468827930175,0.3865979381443299,0.10813387045011473
32,841fcc72bf3015b025beb1c086c2098995a4a8a0,289,0.14413965087281796,0.430939226519337,0.10801201730722236
31,e2ccdecc3ed364c7be38d3fd62cadd25cc504cee,290,0.14463840399002495,0.3969465648854962,0.10601054481546575
33,2c07b832cfd500d8ebbda1a4bf624aeb92f525cb,280,0.1396508728179551,0.4197080291970803,0.10478530402382075
35,444f1bbbc2c6961d1ccecb3903aeab0dbc59c180,275,0.1371571072319202,0.4419889502762431,0.1046746758653503
28,9c2463e901ec82348cd57bbc3e2008ed54a8683a,296,0.14763092269326683,0.3203463203463203,0.10105838170023898
52,8583c87cceffe9617211d2b97fef62cc2d8441ee,249,0.12418952618453866,0.539568345323741,0.10095358567675392
38,e1744b3c364a02103bd41ba1f9e5559aea8d6e0b,272,0.13566084788029925,0.3838383838383838,0.10023468259663686
44,631f44407f48e4b4c30f7b251713da0e93de428b,260,0.12967581047381546,0.4413793103448276,0.1002288880857728
29,d9a42d04428b8e9dabee4e0adec13b050e9c2a43,291,0.1451371571072319,0.3233082706766917,0.10016971133063289
34,9e6ce649806c8e217c9247f5ad130ae260fdd104,276,0.1376558603491272,0.36444444444444446,0.09991611849366473
22,707fae0cc0ff4da4e1d770132d3e131cbcf7e9f7,327,0.1630922693266833,0.2542955326460481,0.09936475216300451
